Event Start (s),Event Stop (s),Task Label
33.2,36.1,Smile-Iso
40.2,43.4,Smile-Iso
47.3,50.2,Smile-Iso
54.0,57.2,Smile-Iso
81.2,84.4,Wrinkle-Iso
88.0,91.1,Wrinkle-Iso
94.1,97.2,Wrinkle-Iso
99.6,102.6,Wrinkle-Iso
131.8,134.6,Eye-Iso
137.6,140.6,Eye-Iso
143.6,146.5,Eye-Iso
149.4,152.2,Eye-Iso
187.4,190.6,Out-Iso
194.4,197.6,Out-Iso
201.4,204.4,Out-Iso
207.6,211.0,Out-Iso
242.0,245.4,In-Iso
249.0,252.0,In-Iso
255.0,258.1,In-Iso
261.4,264.3,In-Iso
294.2,324.3,Chewing
338.2,368.4,Chewing
382.4,413.4,Chewing
426.8,456.3,Chewing
490.8,500.5,Swallowing
512.1,521.4,Swallowing
532.4,541.4,Swallowing
552.0,561.1,Swallowing
602.0,607.5,Eye
611.2,616.3,Eye
621.2,625.9,Eye
631.0,635.7,Eye
681.3,687.6,Jaw
693.6,699.6,Jaw
702.5,708.4,Jaw
713.5,719.6,Jaw
760.0,762.9,Surprise
767.2,770.1,Surprise
773.8,776.8,Surprise
780.0,783.0,Surprise
819.2,822.4,Sad
825.4,828.3,Sad
831.7,834.6,Sad
837.6,840.6,Sad
885.0,887.9,Angry
890.0,892.7,Angry
897.2,900.0,Angry
920.8,930.7,Up Gaze
937.0,945.8,Up Gaze
952.2,961.6,Up Gaze
966.1,975.0,Up Gaze
990.0,998.5,L Gaze-L
1003.7,1011.4,L Gaze-L
1016.0,1024.0,L Gaze-L
1027.0,1035.9,L Gaze-L
1052.8,1061.1,L Gaze-R
1065.7,1074.2,L Gaze-R
1079.8,1088.1,L Gaze-R
1091.2,1100.8,L Gaze-R
1145.0,1174.1,Talk
1185.0,1215.2,Talk
1225.0,1254.3,Talk
1265.6,1294.2,Talk
