Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
40.8,43.8,Smile-Iso,0.0
47.3,50.8,Smile-Iso,0.0
54.2,57.4,Smile-Iso,0.0
61.0,64.0,Smile-Iso,0.0
95.3,98.8,Wrinkle-Iso,0.0
102.4,105.4,Wrinkle-Iso,0.0
108.3,111.2,Wrinkle-Iso,0.0
114.0,117.0,Wrinkle-Iso,0.0
154.5,157.8,Eye-Iso,0.0
160.2,163.8,Eye-Iso,0.0
166.3,170.6,Eye-Iso,0.0
172.4,175.2,Eye-Iso,0.0
212.1,215.0,Out-Iso,0.0
218.8,221.8,Out-Iso,0.0
226.0,229.0,Out-Iso,0.0
232.2,235.7,Out-Iso,0.0
269.0,273.0,In-Iso,0.0
275.6,279.0,In-Iso,0.0
281.6,284.6,In-Iso,0.0
287.3,290.0,In-Iso,0.0
326.4,354.8,Chewing,0.0
368.0,397.8,Chewing,0.0
411.4,441.2,Chewing,0.0
455.8,485.8,Chewing,0.0
614.6,625.8,Swallowing,1.5
635.0,644.3,Swallowing,1.2
653.0,663.2,Swallowing,0.3
671.5,680.9,Swallowing,0.0
715.2,720.4,Eye,0.0
723.8,728.8,Eye,0.0
734.0,739.0,Eye,0.0
743.2,748.3,Eye,0.0
791.6,798.4,Jaw,0.0
804.0,810.5,Jaw,0.0
812.8,818.8,Jaw,0.0
822.8,828.7,Jaw,0.0
859.6,862.6,Surprise,0.0
865.8,870.2,Surprise,0.0
872.1,875.4,Surprise,0.0
878.0,881.4,Surprise,0.0
912.4,915.6,Sad,0.0
917.0,919.8,Sad,0.0
924.0,927.0,Sad,0.0
930.4,933.6,Sad,0.0
960.8,963.8,Angry,0.0
967.8,970.4,Angry,0.0
973.8,976.5,Angry,0.0
979.0,982.0,Angry,0.0
1010.0,1054.9,Up Gaze,0.0
1063.8,1108.5,Up Gaze,0.0
1115.0,1159.7,Up Gaze,0.0
1169.0,1214.0,Up Gaze,0.0
1253.9,1299.0,L Gaze-L,0.0
1308.6,1353.5,L Gaze-L,0.0
1362.6,1408.9,L Gaze-L,0.0
1418.6,1463.7,L Gaze-L,0.0
1509.5,1554.4,L Gaze-R,0.0
1564.5,1609.4,L Gaze-R,0.0
1619.4,1668.7,L Gaze-R,0.0
1674.0,1705.0,L Gaze-R,0.0
1749.2,1778.6,Talk,0.4
1788.2,1817.0,Talk,0.4
1827.8,1857.4,Talk,0.2
1867.7,1897.4,Talk,0.2
