Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
33.8,38.2,Smile-Iso,0.0
41.9,44.8,Smile-Iso,0.0
49.0,51.8,Smile-Iso,0.0
55.4,58.2,Smile-Iso,0.0
102.6,106.0,Wrinkle-Iso,0.0
108.8,111.7,Wrinkle-Iso,0.0
115.0,118.0,Wrinkle-Iso,0.0
120.0,123.0,Wrinkle-Iso,0.0
161.4,164.8,Eye-Iso,0.0
169.8,173.2,Eye-Iso,0.0
176.1,179.2,Eye-Iso,0.0
181.6,184.6,Eye-Iso,0.0
225.2,228.3,Out-Iso,0.0
232.2,235.5,Out-Iso,0.0
238.8,242.0,Out-Iso,0.0
245.0,248.0,Out-Iso,0.0
288.0,291.6,In-Iso,0.0
294.4,297.7,In-Iso,0.0
300.1,303.4,In-Iso,0.0
306.2,309.6,In-Iso,0.0
364.4,394.4,Chewing,0.4
406.4,437.5,Chewing,0.0
450.4,481.2,Chewing,0.0
494.3,525.0,Chewing,0.0
575.2,585.0,Swallowing,0.0
596.0,605.4,Swallowing,0.0
615.2,625.9,Swallowing,0.0
636.0,646.7,Swallowing,0.0
687.8,694.0,Eye,0.0
698.6,703.8,Eye,0.0
708.3,713.4,Eye,0.0
718.4,723.6,Eye,0.0
784.6,791.2,Jaw,0.0
797.4,803.2,Jaw,0.0
806.2,811.9,Jaw,0.0
816.6,822.3,Jaw,0.0
862.2,865.0,Surprise,0.0
868.9,872.0,Surprise,0.0
875.7,878.8,Surprise,0.0
881.8,885.0,Surprise,0.0
932.0,934.8,Sad,0.0
936.6,939.4,Sad,0.0
944.4,947.6,Sad,0.0
950.2,953.2,Sad,0.0
986.2,989.2,Angry,0.0
992.6,996.0,Angry,0.0
998.6,1001.6,Angry,0.0
1004.6,1007.6,Angry,0.0
1052.0,1096.8,Up Gaze,0.0
1106.6,1150.8,Up Gaze,0.0
1161.4,1205.8,Up Gaze,0.0
1215.7,1260.8,Up Gaze,0.0
1308.5,1353.6,L Gaze-L,0.0
1363.2,1407.9,L Gaze-L,0.0
1419.9,1464.6,L Gaze-L,0.0
1472.5,1517.2,L Gaze-L,0.0
1556.5,1601.7,L Gaze-R,0.0
1610.1,1655.4,L Gaze-R,0.0
1665.0,1715.2,L Gaze-R,0.0
1721.3,1766.0,L Gaze-R,0.0
1804.5,1833.6,Talk,0.6
1843.2,1871.7,Talk,0.6
1884.0,1913.6,Talk,0.4
1924.0,1956.6,Talk,0.4
